ticker,doc_url,doc_title,doc_name
FPT,http://static2.vietstock.vn/data/HOSE/2021/BCTC/VN/QUY 2/FPT_Baocaotaichinh_Q2_2021_Congtyme.pdf,BCTC Công ty mẹ quý 2 năm 2021 ,Báo cáo tài chính Công ty mẹ quý 2 năm 2021 
FPT,http://static2.vietstock.vn/data/HOSE/2021/BCTC/VN/QUY 1/FPT_Baocaotaichinh_Q1_2021_Hopnhat.pdf,BCTC Hợp nhất quý 1 năm 2021 ,Báo cáo tài chính Hợp nhất quý 1 năm 2021 
FPT,http://static2.vietstock.vn/data/HOSE/2021/BCTC/VN/QUY 1/FPT_Baocaotaichinh_Q1_2021_Congtyme.pdf,BCTC Công ty mẹ quý 1 năm 2021 ,Báo cáo tài chính Công ty mẹ quý 1 năm 2021 
FPT,http://static2.vietstock.vn/data/HOSE/2020/BCTC/VN/NAM/FPT_Baocaotaichinh_2020_Kiemtoan_Hopnhat.pdf,BCTC Hợp nhất Kiểm toán năm 2020 ,Báo cáo tài chính Hợp nhất Kiểm toán năm 2020 
FPT,http://static2.vietstock.vn/data/HOSE/2020/BCTC/VN/NAM/FPT_Baocaotaichinh_2020_Kiemtoan_Congtyme.pdf,BCTC Công ty mẹ Kiểm toán năm 2020 ,Báo cáo tài chính Công ty mẹ Kiểm toán năm 2020 
FPT,http://static2.vietstock.vn/data/HOSE/2020/BCTC/VN/QUY 4/FPT_Baocaotaichinh_Q4_2020_Congtyme.pdf,BCTC Công ty mẹ quý 4 năm 2020 ,Báo cáo tài chính Công ty mẹ quý 4 năm 2020 
FPT,http://static2.vietstock.vn/data/HOSE/2020/BCTC/VN/QUY 4/FPT_Baocaotaichinh_Q4_2020_Hopnhat.pdf,BCTC Hợp nhất quý 4 năm 2020 ,Báo cáo tài chính Hợp nhất quý 4 năm 2020 
FPT,http://static2.vietstock.vn/data/HOSE/2020/BCTC/VN/QUY 3/FPT_Baocaotaichinh_Q3_2020_Congtyme.pdf,BCTC Công ty mẹ quý 3 năm 2020 ,Báo cáo tài chính Công ty mẹ quý 3 năm 2020 
FPT,http://static2.vietstock.vn/data/HOSE/2020/BCTC/VN/QUY 3/FPT_Baocaotaichinh_Q3_2020_Hopnhat.pdf,BCTC Hợp nhất quý 3 năm 2020 ,Báo cáo tài chính Hợp nhất quý 3 năm 2020 
FPT,http://static2.vietstock.vn/data/HOSE/2020/BCTC/VN/QUY 2/FPT_Baocaotaichinh_6T_2020_Soatxet_Congtyme.pdf,BCTC Công ty mẹ Soát xét 6 tháng đầu năm 2020 ,Báo cáo tài chính Công ty mẹ Soát xét 6 tháng đầu năm 2020 
