period,i_luu_chuyen_tien_tu_hoat_dong_kinh_doanh,profit_before_tax,2_dieu_chinh_cho_cac_khoan,depreciation_of_fixed_assets_and_properties_investment,provisions,foreign_exchange_loss_from_revaluation_of_monetary_items_denominated_in_foreign_currencies,lai_lo_tu_hoat_dong_dau_tu_tai_chinh,chi_phi_di_vay,loss_from_disposal_of_fixed_asset,interest_income_and_dividends,allocation_of_goodwill,operating_profit_before_changes_in_working_capital,decrease_in_receivables,decrease_in_inventories,tang_giam_cac_khoan_phai_tra_khong_ke_lai_vay_phai_tra_thue_thu_nhap_doanh_nghiep_phai_nop,tang_giam_chi_phi_cho_phan_bo,chi_phi_di_vay_da_tra,corporate_income_tax_paid,other_receipts_from_operating_activities,other_payments_for_operating_activities,luu_chuyen_tien_thuan_tu_hoat_dong_kinh_doanh,ii_luu_chuyen_tien_tu_hoat_dong_dau_tu,payment_for_fixed_assets_constructions_and_other_long_term_assets,receipts_from_disposal_of_fixed_assets_and_other_long_term_assets,loans_purchases_of_other_entities_debt_instruments,receipts_from_loan_repayments_sale_of_other_entities_debt_instruments,payments_for_investment_in_other_entities,collections_on_investment_in_other_entities,dividends_interest_and_profit_received,increase_in_term_deposit,purchases_of_minority_shares_of_subsidiaries,other_receipts_from_investing_activities,other_payments_for_investing_activities,luu_chuyen_tien_thuan_tu_hoat_dong_dau_tu,iii_luu_chuyen_tien_tu_hoat_dong_tai_chinh,receipts_from_equity_issue_and_owners_capital_contribution,proceeds_from_borrowings,principal_repayments,repayment_of_financial_leases,dividends_paid_profits_distributed_to_owners,other_receipts_from_financing_activities,other_payments_for_financing_activities,net_cash_flows_from_financing_activities,net_cash_flows_during_the_period,cash_and_cash_equivalents_at_beginning_of_the_period,exchange_difference_due_to_re_valuation_of_ending_balances,cash_and_cash_equivalents_at_end_of_the_period,loss_from_investment_activities,interest_expenses,adjustments_for,increase_in_payables,decrease_in_prepaid_expenses,interest_paid,payment_for_share_repurchases
2021-Q1,,1396751211337,,386343688745,73754310236,-78041968544,,,,,,1544454144815,280130646330,-355558654325,,,,-293906079737,,-233431616446,-782504495375,,-612643752771,639001817,-1435807810770,,-348518102879,,157238394322,,,,,-2239092270281,,,8433667718307,-4625382966624,-220856361,-297903198825,,,3510160696497,488563930841,4686191374038,-12069404360,5162685900519,-334170310563,99817213604,,-1575604939361,-68399255544,-80188741107,
2020-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-Q1,,1142289868828,,361754904561,-2153504264,9658270348,,,,,,1392606853163,247451095313,158171103417,,,,-249750324350,,-232686738986,-443940552276,,-651906628045,194044504,-501401478135,,-18602427347,,125836283690,,,,,-1045880205333,,33917900000,4845978111764,-2819149748652,-516346316,-135063847900,,,1925166068896,435345311287,3453388617569,2771638571,3891505567427,-218568594119,99625907809,,-1550561101907,-120035857830,-89135581096,
2019-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-Q1,,960366721615,,318407902750,-2842245162,6886666420,,,,,,1182722122304,454936663387,-75416608610,,,,-200255836004,,-212406223815,-330039185868,,-904560732250,281565737,-158272299275,,-41852000000,101389573200,133816642623,,,,,-869197249965,,,3005078473648,-3038751008368,,-14511156225,,,-48285932745,-1247522368578,3925727206293,,2678204837715,-172799781155,72702857836,,-1319006658568,-63321889857,-97290754705,-102241800
2018-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q1,,780778210852,,274120905699,28467536958,36234011948,,,,,,993113323775,430508628152,-117726206731,,,,-162818299787,,-88490091653,-117565737287,,-602935284388,16349167,-420153483511,,,,96312241294,,,,,-926760177438,,,2963896342683,-2160548216900,,-163537318875,,,639810806908,-404515107817,3480659514788,,3076144406971,-172895957104,46408615422,,-997380363984,-130373073840,-44399653219,
2017-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q1,,643244794751,,240877160280,32079200825,-4276764673,,,,,,931135112475,717745206261,-311261568352,,,,-174796036102,,-189268473329,-1053036802196,,-187864270732,3292174348,-736288338008,,,946800000,90781467399,,,,,-829132166993,,15500000000,6454882031000,-6481311328384,,-84231718193,,,-95281015577,-1977449984766,6013361389774,,4035911405008,-93661195649,112871916941,,-1909817307407,91883152,-116865618894,-120000000
2016-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q1,,562745635942,,207132870420,23860287018,-15013463522,,,,,,776385524733,675592031306,163385882148,,,,-176653257710,,-141820384198,415814003844,,-427980474996,2938636,380453628759,,,66225020000,63791786286,,,,,82492898685,,20556300000,5632001815211,-6264962252387,,-40661631933,,,-653065769109,-154758866580,3584709151769,,3429950285189,-66141603958,63801798833,,-813667905528,23622944769,-91030831676,
2015-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
