symbol,exchange,reference_price,ceiling_price,price,floor_price,accumulated_value,accumulated_volume,market_cap,price_change_percent,avg_value_30d,avg_value_10d,est_volume,pe,pb,roe,revenue_growth_yoy,match_price_time,ema_time,ema_20_ema_50,last_modified_date,company_name_en,short_name_en,company_name,short_name,icb_code2,industry_en,vi_sector,icb_code4,stock_strength,source_universe,source_strategy,rs_3m,stock_trend,adx,volume_breakout_30d,prev_rsi,rsi,sector_hint,sector_raw,sector
VPB,HOSE,25800.0,27600.0,26000.0,24000.0,573335770000.0,22414600.0,206282013626000.0,0.7751938,338702379601.6667,53.71145805,20822306.0109282,7.7849587167,1.1757220709,15.49858913,,2026-07-16T08:19:30.04,1784073600,,2026-07-16T08:22:57.388,Vietnam Prosperity Joint Stock Commercial Bank,VPBank,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,VPBank,8300,Banks,Ngân hàng,8355,33.0,screener,value_strategy,,,,,,,,8300,bank
BID,HOSE,39500.0,42250.0,39300.0,36750.0,175201110000.0,4480000.0,286106562753000.0,-0.50632911,157872025576.66666,24.45708618,4168835.9080398,,,,,2026-07-16T08:19:02.34,1784073600,,2026-07-16T08:22:54.064,Joint Stock Commercial Bank for Investment and Development of Vietnam,BIDV,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,BIDV,8300,Banks,Ngân hàng,8355,27.0,screener_broad_liquid,broad_liquid,,,,,,,,8300,bank
CMG,HOSE,25900.0,27700.0,25900.0,24100.0,4360260000.0,171100.0,6032133517200.0,0.0,5261064490.0,-7.83595513,159206.3492067,,,,,2026-07-16T08:19:03.84,1784073600,,2026-07-16T08:22:54.362,CMC Corporation,CMC Corporation,Công ty Cổ phần Tập đoàn Công nghệ CMC,Tập đoàn Công nghệ CMC,9500,Technology,Công nghệ Thông tin,9533,19.0,screener_broad_liquid,broad_liquid,,,,,,,,9500,technology
CTG,HOSE,32150.0,34400.0,32300.0,29900.0,333752810000.0,10470800.0,250872311775100.0,0.46656299,230480962863.33334,20.74184842,9742352.22573561,,,,,2026-07-16T08:19:04.84,1784073600,,2026-07-16T08:22:54.445,Vietnam Joint Stock Commercial Bank For Industry and Trade,VietinBank,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,VietinBank,8300,Banks,Ngân hàng,8355,23.0,screener_broad_liquid,broad_liquid,,,,,,,,8300,bank
CTR,HOSE,70000.0,74900.0,70000.0,65100.0,26800300000.0,390400.0,8967852880000.0,0.0,23556202670.0,54.52487289,363217.99939119,,,,,2026-07-16T08:19:05.14,1784073600,,2026-07-16T08:22:54.452,Viettel Construction Joint Stock Corporation,Viettel Construction,Tổng Công ty Cổ phần Công trình Viettel,Công trình Viettel,2300,Construction & Materials,Xây dựng và Vật liệu,2357,20.0,screener_broad_liquid,broad_liquid,,,,,,,,2300,technology
EIB,HOSE,19450.0,20800.0,19050.0,18100.0,152876430000.0,8060600.0,35484827563350.0,-2.05655527,88987132143.33333,53.69198827,7498460.50951599,,,,,2026-07-16T08:19:07.74,1784073600,,2026-07-16T08:22:54.77,Vietnam Export Import Commercial Joint Stock Bank,Eximbank,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,Eximbank,8300,Banks,Ngân hàng,8355,15.0,screener_broad_liquid,broad_liquid,,,,,,,,8300,bank
ELC,HOSE,16200.0,17300.0,16000.0,15100.0,3780370000.0,239700.0,1760755488000.0,-1.2345679,5538886903.333333,-21.57593704,222983.52283035,,,,,2026-07-16T08:19:07.84,1784073600,,2026-07-16T08:22:54.78,ELCOM Technology Communications Corporation,ELCOM,Công ty Cổ phần Công nghệ - Viễn thông ELCOM,ELCOM,9500,Technology,Công nghệ Thông tin,9578,29.0,screener_broad_liquid,broad_liquid,,,,,,,,9500,technology
FPT,HOSE,66800.0,71400.0,68000.0,62200.0,864754790000.0,13030600.0,116574196696000.0,1.79640719,588312387040.0,44.68265637,12121119.89299674,,,,,2026-07-16T08:19:08.64,1784073600,,2026-07-16T08:22:54.84,FPT Corporation,FPT Corp,Công ty Cổ phần FPT,FPT Corp,9500,Technology,Công nghệ Thông tin,9537,19.0,screener_broad_liquid,broad_liquid,,,,,,,,9500,technology
LPB,HOSE,51500.0,55100.0,52000.0,47900.0,85502500000.0,1650400.0,155338669200000.0,0.97087379,118654801075.0,-14.92381826,1534556.06198676,,,,,2026-07-16T08:19:15.54,1784073600,,2026-07-16T08:22:55.573,Fortune Vietnam Joint Stock Commercial Bank,LPBank,Ngân hàng Thương mại Cổ phần Lộc Phát Việt Nam,LPBank,8300,Banks,Ngân hàng,8355,81.0,screener_broad_liquid,broad_liquid,,,,,,,,8300,bank
MBB,HOSE,23950.0,25600.0,24150.0,22300.0,349008270000.0,14637000.0,194528247802350.0,0.83507307,303128684760.0,5.1918467,13609608.0218775,,,,,2026-07-16T08:19:15.74,1784073600,,2026-07-16T08:22:55.6,Military Commercial Joint Stock Bank,MBBank,Ngân hàng Thương mại Cổ phần Quân đội,MBBank,8300,Banks,Ngân hàng,8355,40.0,screener_broad_liquid,broad_liquid,,,,,,,,8300,bank
